Ticker,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN
60,HK FOOD INV,Equity,Equity Securities (Main Board),"2,000",,HK0060028229
61,GREEN LEADER,Equity,Equity Securities (Main Board),"20,000",HKD 0.2000,BMG4165P1187
62,TRANSPORT INT'L,Equity,Equity Securities (Main Board),400,HKD 1.0000,BMG9031M1082
63,CHI ASIA VALLEY,Equity,Equity Securities (Main Board),"1,000",HKD 0.0500,BMG2123P1059
64,GET NICE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG3926K1031
65,GRAND OCEAN AR,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG4065F1037
66,MTR CORPORATION,Equity,Equity Securities (Main Board),500,,HK0066009694
67,LUMENA NEWMAT,Equity,Equity Securities (Main Board),"2,000",USD 0.0004,KYG2160B1005
68,LEE HING,Equity,Equity Securities (Main Board),"1,000",,HK0068000436
69,SHANGRI-LA ASIA,Equity,Equity Securities (Main Board),"2,000",HKD 1.0000,BMG8063F1068
70,RICH GOLDMAN,Equity,Equity Securities (Main Board),"10,000",,HK0000295763
71,MIRAMAR HOTEL,Equity,Equity Securities (Main Board),"1,000",,HK0071000456
72,MODERN MEDIA,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG618251089
73,ASIAN CITRUS,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,BMG0620W2019
75,Y.T. REALTY,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG987731079
76,ELATE HOLDINGS,Equity,Equity Securities (Main Board),"4,000",,HK0000219144
77,AMS TRANSPORT,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG041561088
78,REGAL INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG7475M1626
79,CENTURY LEGEND,Equity,Equity Securities (Main Board),"4,000",HKD 0.2000,BMG2021N1609
80,CNEWECON FUND,Equity,Investment Companies,"10,000",HKD 0.0400,KYG211971687
81,CH OVS G OCEANS,Equity,Equity Securities (Main Board),"1,000",,HK0000065737
82,V1 GROUP,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG9310X1065
83,SINO LAND,Equity,Equity Securities (Main Board),"2,000",,HK0083000502
84,STELUX HOLDINGS,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG8465C1073
85,CE HUADA TECH,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG2122L1054
86,SUN HUNG KAI CO,Equity,Equity Securities (Main Board),"1,000",,HK0086000525
87,SWIRE PACIFIC B,Equity,Equity Securities (Main Board),"2,500",,HK0087000532
88,TAI CHEUNG HOLD,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG8659B1054
89,TAI SANG LAND,Equity,Equity Securities (Main Board),"1,000",,HK0089000548
90,PUXING ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG730761049
91,GOLDEN CEN INTL,Equity,Equity Securities (Main Board),"10,000",,HK0000434156
92,CHAMPION TECH,Equity,Equity Securities (Main Board),"6,000",HKD 0.1000,BMG2033C2853
93,TERMBRAY IND,Equity,Equity Securities (Main Board),"2,000",HKD 0.0800,BMG8760C1414
94,GREENHEART GP,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG4094L1054
95,LVGEM CHINA,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG5727E1035
96,YUSEI,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG9883K1013
97,HENDERSON INV,Equity,Equity Securities (Main Board),"1,000",,HK0097000571
98,XINGFA ALUM,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG9828C1078
99,WONG'S INT'L,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG9738G1078
100,CLEAR MEDIA,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG219901094
101,HANG LUNG PPT,Equity,Equity Securities (Main Board),"1,000",,HK0101000591
102,SUMMIT ASCENT,Equity,Equity Securities (Main Board),"4,000",HKD 0.0250,BMG8565U1302
103,SHOUGANG CENT,Equity,Equity Securities (Main Board),"2,000",,HK0103000607
104,ASIA COMM HOLD,Equity,Equity Securities (Main Board),"5,000",HKD 0.2000,BMG0532V2009
105,ASSO INT HOTELS,Equity,Equity Securities (Main Board),"2,000",,HK0105000613
106,LANDSEA PPT,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,
107,SICHUAN EXPRESS,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000494
108,GR PROPERTIES,Equity,Equity Securities (Main Board),"2,000",,HK0108000628
109,GOODRESOURCES,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,BMG4094B1072
110,CHINA FORTUNE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2154Z1059
111,CINDA INTL HLDG,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2143M1082
112,LERTHAI GROUP,Equity,Equity Securities (Main Board),"2,000",,HK0112012916
113,DICKSON CONCEPT,Equity,Equity Securities (Main Board),500,HKD 0.3000,BMG275871231
114,HERALD HOLD,Equity,Equity Securities (Main Board),"5,000",USD 0.0100,BMG4410A1062
115,GRAND FIELD GP,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,BMG4054H1447
116,CHOW SANG SANG,Equity,Equity Securities (Main Board),"1,000",HKD 0.2500,BMG2113M1203
117,TIANLI HOLDINGS,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG8884H1092
118,COSMOS MACH,Equity,Equity Securities (Main Board),"2,000",,HK0118000667
119,POLY PROPERTY,Equity,Equity Securities (Main Board),"1,000",,HK0119000674
120,COSMOPOL INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.0020,KYG2445L1547
122,CROCODILE,Equity,Equity Securities (Main Board),"1,000",,HK0122000687
123,YUEXIU PROPERTY,Equity,Equity Securities (Main Board),"2,000",,HK0123000694
124,GD LAND,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4182K1009
125,SUN HING VISION,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8572F1005
126,CARRIANNA,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG1993G1042
127,CHINESE EST H,Equity,Equity Securities (Main Board),500,HKD 0.1000,BMG2108M2182
128,ENM HOLDINGS,Equity,Equity Securities (Main Board),"4,000",,HK0128011282
129,ASIA STANDARD,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG0533U2355
130,MOISELLE INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG618641073
131,CHEUK NANG HOLD,Equity,Equity Securities (Main Board),"1,000",,HK0131037993
132,CHINA INV HOLD,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG210751092
133,CHINA MERCHANTS,Equity,Investment Companies,"2,000",,HK0133000726
135,KUNLUN ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG5320C1082
136,HENGTEN NET,Equity,Equity Securities (Main Board),"4,000",HKD 0.0020,BMG4404N1065
137,JINHUI HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,HK0137031065
138,CCT FORTIS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG1987Y1030
139,CENTRALWEALTHGP,Equity,Equity Securities (Main Board),"14,000",HKD 0.0100,
141,SKYCHINAFORTUNE,Equity,Equity Securities (Main Board),"2,000",,HK0141000759
142,FIRST PACIFIC,Equity,Equity Securities (Main Board),"2,000",USD 0.0100,BMG348041077
143,GUOAN INTL,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG4211E1098
144,CHINA MER PORT,Equity,Equity Securities (Main Board),"2,000",,HK0144000764
145,HK BLDG & LOAN,Equity,Equity Securities (Main Board),"8,000",,HK0000643319
146,TAI PING CARPET,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG8659F1068
147,IB SETTLEMENT,Equity,Equity Securities (Main Board),"5,000",HKD 0.0010,BMG4824K1045
148,KINGBOARD HLDG,Equity,Equity Securities (Main Board),500,HKD 0.1000,
149,CH AGRI-PROD EX,Equity,Equity Securities (Main Board),"5,000",HKD 0.0100,BMG2150P2343
150,HYPEBEAST,Equity,Equity Securities (Main Board),"2,500",HKD 0.0100,KYG468321040
151,WANT WANT CHINA,Equity,Equity Securities (Main Board),"1,000",USD 0.0200,KYG9431R1039
152,SHENZHEN INT'L,Equity,Equity Securities (Main Board),500,HKD 1.0000,BMG8086V1467
153,CHINA SAITE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG2119L1005
154,BE ENVIRONMENT,Equity,Equity Securities (Main Board),"1,000",,HK0154000803
155,CHINA SOLAR,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG2111R1705
156,LIPPO CHINA RES,Equity,Equity Securities (Main Board),"10,000",,HK0156000819
157,NATURAL BEAUTY,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,KYG640061027
158,MELBOURNE ENT,Equity,Equity Securities (Main Board),500,,HK0158000825
159,BROCKMAN MINING,Equity,Equity Securities (Main Board),"4,000",HKD 0.1000,BMG1739E1084
160,HON KWOK LAND,Equity,Equity Securities (Main Board),"2,000",,HK0160011786
162,CENTURY GINWA,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG2021K1172
163,EMPEROR INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG3036C2239
164,CHINA BAOLI TEC,Equity,Equity Securities (Main Board),"5,000",HKD 0.1000,BMG2119D1166
165,CHINA EB LTD,Equity,Equity Securities (Main Board),"2,000",,HK0165000859
166,NEWTIMES ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG6488Q1454
167,IDT INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4705P1077
168,TSINGTAO BREW,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000004K1
169,WANDA HOTEL DEV,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG9430N1039
171,SILVER GRANT,Equity,Equity Securities (Main Board),"2,000",,HK0171000877
172,GOLDBOND GROUP,Equity,Equity Securities (Main Board),"10,000",,HK0172012327
173,K. WAH INT'L,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG5321P1169
174,GEMINI INV,Equity,Equity Securities (Main Board),"2,000",,HK0174000890
175,GEELY AUTO,Equity,Equity Securities (Main Board),"1,000",HKD 0.0200,KYG3777B1032
176,SUPERACTIVE GP,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8587Y1021
177,JIANGSU EXPRESS,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000003J5
178,SA SA INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG7814S1021
179,JOHNSON ELEC H,Equity,Equity Securities (Main Board),500,HKD 0.0500,BMG5150J1577
180,KADER HOLDINGS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG5206W1038
181,FUJIAN HOLDINGS,Equity,Equity Securities (Main Board),"20,000",,HK0181013399
182,CONCORD NE,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG2345T1099
183,WINFULL GP,Equity,Equity Securities (Main Board),"8,000",HKD 0.0100,KYG9704H1056
184,KECK SENG INV,Equity,Equity Securities (Main Board),"2,000",,HK0184000948
185,ZENSUN ENT,Equity,Equity Securities (Main Board),"10,000",,HK0185013379
186,NIMBLE HOLDINGS,Equity,Equity Securities (Main Board),"30,000",HKD 0.0100,BMG652161065
187,JINGCHENG MAC,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000270
188,SUNWAH KINGSWAY,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG8587P1014
189,DONGYUE GROUP,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG2816P1072
190,HKC (HOLDINGS),Equity,Equity Securities (Main Board),"1,000",HKD 0.2500,BMG4516H1795
191,LAI SUN INT'L,Equity,Equity Securities (Main Board),"1,000",,HK0000356805
193,CAPITAL ESTATE,Equity,Equity Securities (Main Board),"3,000",,HK0000489689
194,LIU CHONG HING,Equity,Equity Securities (Main Board),"2,000",,HK0194000995
195,GREENTECH INTL,Equity,Equity Securities (Main Board),"10,000",HKD 0.0050,KYG4100V1059
196,HONGHUA GROUP,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG4584R1092
197,HENG TAI,Equity,Equity Securities (Main Board),"5,000",HKD 0.1000,KYG440351149
198,SMI HOLDINGS,Equity,Equity Securities (Main Board),"4,000",HKD 0.5000,BMG8229F1150
199,ITC PROPERTIES,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,BMG4984N1618
200,MELCO INT'L DEV,Equity,Equity Securities (Main Board),"1,000",,HK0200030994
201,MAGNIFICENT,Equity,Equity Securities (Main Board),"2,000",,HK0201008726
202,EVERCHINA INT'L,Equity,Equity Securities (Main Board),"5,000",,HK0000062734
204,CHINA INV DEV,Equity,Investment Companies,"20,000",HKD 0.0100,BMG2115B1303
205,SEEC MEDIA,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,BMG8012K1311
206,CMIC OCEAN,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG2124A1076
207,JOY CITY PPT,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG5210S1061
208,POLYTEC ASSET,Equity,Equity Securities (Main Board),"5,000",HKD 0.1000,KYG716591170
209,WINSHINE SCI,Equity,Equity Securities (Main Board),"4,000",HKD 0.1000,BMG9723F1068
210,DAPHNE INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG2830J1031
211,STYLAND-NEW,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,BMG8540A3088
212,NANYANG HOLD,Equity,Equity Securities (Main Board),500,HKD 0.1000,BMG6362N1011
213,NATIONAL ELEC H,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG6374F1041
214,ASIA ORIENT,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG0534H1189
215,HUTCHTEL HK,Equity,Equity Securities (Main Board),"2,000",HKD 0.2500,KYG4672G1064
216,CHINNEY INV,Equity,Equity Securities (Main Board),"4,000",,HK0216001088
217,CHINA CHENGTONG,Equity,Equity Securities (Main Board),"2,000",,HK0217012357
218,SWHYHK,Equity,Equity Securities (Main Board),"5,000",,HK0218001102
219,SHUNHO PROPERTY,Equity,Equity Securities (Main Board),"2,000",,HK0219009344
220,U-PRESID CHINA,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG9222R1065
222,MIN XIN HOLD,Equity,Equity Securities (Main Board),"2,000",,HK0222001130
223,ELIFE HLDGS,Equity,Equity Securities (Main Board),"20,000",HKD 0.0200,KYG3002T1013
224,PIONEER GLOBAL,Equity,Equity Securities (Main Board),"4,000",HKD 0.1000,BMG7098N1002
225,POKFULAM,Equity,Equity Securities (Main Board),"2,000",,HK0225001145
226,LIPPO,Equity,Equity Securities (Main Board),"1,000",,HK0226001151
227,FIRST SHANGHAI,Equity,Equity Securities (Main Board),"8,000",,HK0227001168
228,CHINA ENERGY,Equity,Equity Securities (Main Board),"2,000",HKD 0.0500,KYG2153W1033
229,RAYMOND IND,Equity,Equity Securities (Main Board),"1,000",,HK0229001182
230,MINMETALS LAND,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG6144P1014
231,PING AN SEC GP,Equity,Equity Securities (Main Board),"40,000",HKD 0.0100,BMG7115B1211
232,AVIC INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG0719V1063
234,NEW CENTURY GP,Equity,Equity Securities (Main Board),"24,000",HKD 0.0025,BMG644581396
235,CHINA STRATEGIC,Equity,Equity Securities (Main Board),"5,000",,HK0235034623
236,SAN MIGUEL HK,Equity,Equity Securities (Main Board),"2,000",,HK0236001209
237,SAFETY GODOWN,Equity,Equity Securities (Main Board),"2,000",,HK0000642089
238,EVERGREEN INT,Equity,Equity Securities (Main Board),"1,000",HKD 0.0010,KYG3225T1022
239,PAK FAH YEOW,Equity,Equity Securities (Main Board),"2,500",HKD 0.0500,BMG6873Y1176
240,BUILD KING HOLD,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,BMG1675M1064
241,ALI HEALTH,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG0171K1018
242,SHUN TAK HOLD,Equity,Equity Securities (Main Board),"2,000",,HK0242001243
243,QPL INT'L,Equity,Equity Securities (Main Board),"9,000",HKD 0.0100,BMG7302M2110
244,SINCERE,Equity,Equity Securities (Main Board),"1,000",,HK0244001258
245,CHINA VERED FIN,Equity,Equity Securities (Main Board),"10,000",,HK0000268943
247,TST PROPERTIES,Equity,Equity Securities (Main Board),"2,000",,HK0247001271
248,HKC INT'L HOLD,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG4515X1007
250,SINO-I TECH,Equity,Equity Securities (Main Board),"50,000",,HK0250031678
251,SEA HOLDINGS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG7946B1000
252,SE ASIA PPT,Equity,Equity Securities (Main Board),"2,000",,HK0252001307
253,SHUNHO HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,HK0253001314
254,NUR HOLDINGS,Equity,Equity Securities (Main Board),"10,000",,HK0000171519
255,LUNG KEE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG5697D1011
256,CITYCHAMP,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG2161T1004
257,EB ENVIRONMENT,Equity,Equity Securities (Main Board),"1,000",,HK0257001336
258,TOMSON GROUP,Equity,Equity Securities (Main Board),"2,000",HKD 0.5000,KYG8917R1083
259,YEEBO (INT'L H),Equity,Equity Securities (Main Board),"2,000",HKD 0.2000,BMG9835R1051
260,AVIC JOY HLDG,Equity,Equity Securities (Main Board),"10,000",,HK0260032278
261,GBA HOLDINGS,Equity,Equity Securities (Main Board),"80,000",HKD 0.0100,
262,DESON DEV INT'L,Equity,Equity Securities (Main Board),"5,000",HKD 0.1000,BMG2734F1656
263,GT GROUP HLDG,Equity,Equity Securities (Main Board),"4,000",,HK0000493806
264,CN INT DEV CORP,Equity,Equity Securities (Main Board),"4,000",HKD 0.0100,KYG2121T1094
265,ORIENT VICTORY,Equity,Equity Securities (Main Board),"10,000",HKD 0.0050,KYG6777V1106
266,TIAN TECK LAND,Equity,Equity Securities (Main Board),"2,000",,HK0266001368
267,CITIC,Equity,Equity Securities (Main Board),"1,000",,HK0267001375
268,KINGDEE INT'L,Equity,Equity Securities (Main Board),"1,000",HKD 0.0250,KYG525681477
269,CRTG,Equity,Equity Securities (Main Board),"5,000",HKD 0.2000,KYG2162D1126
270,GUANGDONG INV,Equity,Equity Securities (Main Board),"2,000",,HK0270001396
271,ASIASEC PPT,Equity,Equity Securities (Main Board),"1,000",,HK0271007608
272,SHUI ON LAND,Equity,Equity Securities (Main Board),500,USD 0.0025,KYG811511131
273,MASON GP HOLD,Equity,Equity Securities (Main Board),"20,000",,HK0000227089
274,C BILLION RES,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,KYG2115F1312
275,MASTER GLORY GP,Equity,Equity Securities (Main Board),"10,000",HKD 0.1000,BMG5891T1264
276,MONGOLIA ENERGY,Equity,Equity Securities (Main Board),"3,000",HKD 0.0200,BMG6260K1595
277,TERN PROPERTIES,Equity,Equity Securities (Main Board),"2,000",,HK0277001415
278,WAH HA REALTY,Equity,Equity Securities (Main Board),"2,000",,HK0278001422
279,FREEMAN FINTECH,Equity,Equity Securities (Main Board),"6,000",HKD 0.0100,KYG366302787
280,KING FOOK HOLD,Equity,Equity Securities (Main Board),"2,000",,HK0280001436
281,RIVERA (HOLD),Equity,Equity Securities (Main Board),"2,000",,HK0281001443
282,NEXT DIGITAL,Equity,Equity Securities (Main Board),"10,000",,HK0000271764
285,BYD ELECTRONIC,Equity,Equity Securities (Main Board),500,,HK0285041858
286,AIDIGONG,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG0133U1062
287,WINFAIR INV,Equity,Equity Securities (Main Board),"2,000",,HK0287001470
288,WH GROUP,Equity,Equity Securities (Main Board),500,USD 0.0001,KYG960071028
289,WING ON CO,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,BMG970561087
290,C FORTUNE FIN,Equity,Equity Securities (Main Board),"4,000",HKD 0.1000,KYG2118A1058
291,CHINA RES BEER,Equity,Equity Securities (Main Board),"2,000",,HK0291001490
292,ASIA STD HOTEL,Equity,Equity Securities (Main Board),"10,000",HKD 0.0200,BMG0535U1751
293,CATHAY PAC AIR,Equity,Equity Securities (Main Board),"1,000",,HK0293001514
294,YANGTZEKIANG,Equity,Equity Securities (Main Board),"1,000",,HK0294001521
295,KONG SUN HOLD,Equity,Equity Securities (Main Board),"25,000",,HK0000120151
296,EMPEROR E HOTEL,Equity,Equity Securities (Main Board),"5,000",HKD 0.0001,BMG313891027
297,SINOFERT,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8403G1033
298,CHUANG'S CHINA,Equity,Equity Securities (Main Board),"10,000",HKD 0.0500,BMG2122W1010
299,GLORY SUN LAND,Equity,Equity Securities (Main Board),"5,000",HKD 0.0500,KYG3997X1170
301,SANVO CHEMICALS,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG7809C1042
302,CMGE,Equity,Equity Securities (Main Board),"2,000",USD 0.0001,KYG2347J1094
303,VTECH HOLDINGS,Equity,Equity Securities (Main Board),100,USD 0.0500,BMG9400S1329
305,WULING MOTORS,Equity,Equity Securities (Main Board),"10,000",HKD 0.0040,BMG9604B1090
306,KWOON CHUNG BUS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG5330P1077
307,UP ENERGY DEV,Equity,Equity Securities (Main Board),"2,000",HKD 0.2000,BMG9289C1257
308,CHINA TRAVEL HK,Equity,Equity Securities (Main Board),"2,000",,HK0308001558
309,XH NEWS MEDIA,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG5699G1367
310,PROSP INV HOLD,Equity,Investment Companies,"15,000",HKD 0.0250,BMG727401637
311,LUEN THAI,Equity,Equity Securities (Main Board),"1,000",USD 0.0100,KYG5697P1046
312,SHIRBLE STORE,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG810871015
313,RICHLY FIELD,Equity,Equity Securities (Main Board),"50,000",HKD 0.0500,BMG7568A1099
315,SMARTONE TELE,Equity,Equity Securities (Main Board),500,HKD 0.1000,BMG8219Z1059
316,OOIL,Equity,Equity Securities (Main Board),500,USD 0.1000,BMG677491539
317,COMEC,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000395
318,VONGROUP,Equity,Equity Securities (Main Board),"5,000",HKD 0.0400,KYG9387J1132
320,COMPUTIME,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG2341T1031
